keys,zh_CN,en
PHONE_STATUS_LOCAL,4G,4G
PHONE_STATUS_OFFLINE,离线,Offline
PHONE_CLOSE,关闭手机,Close phone
PHONE_BACK,返回,Back
PHONE_HOME,主屏幕,Home
PHONE_HOME_TITLE,主屏幕,Home
PHONE_HOME_GREETING,早上好。今天的日程从办公室开始。,Good morning. Today's schedule begins at the office.
PHONE_HOME_DATE,2026 年 10 月 18 日 · 星期日,Sunday · October 18 · 2026
PHONE_APP_CHAT,聊天,Chat
PHONE_APP_MAPS,地图,Maps
PHONE_APP_BROWSER,浏览器,Browser
PHONE_APP_PHONE,电话,Phone
PHONE_APP_CAMERA,相机,Camera
PHONE_APP_CLOCK,时钟,Clock
PHONE_APP_WORKSPACE,公司工作台,Workplace
PHONE_CHAT_COLLEAGUE,林倩 · 同事,Lin Qian · Colleague
PHONE_CHAT_COLLEAGUE_PREVIEW,上午的表格别忘了带。,Remember the spreadsheet this morning.
PHONE_CHAT_COLLEAGUE_1,林倩：早，上午的表格别忘了带。,Lin Qian: Morning. Remember the spreadsheet for this morning.
PHONE_CHAT_COLLEAGUE_2,林倩：电梯最近又在检修，早点出门吧。,"Lin Qian: The elevator is being serviced again, so leave a little early."
PHONE_CHAT_FRIEND,阿明 · 朋友,A-Ming · Friend
PHONE_CHAT_FRIEND_PREVIEW,周末再约。,Let's meet this weekend.
PHONE_CHAT_FRIEND_1,阿明：昨晚那家面馆还不错。,A-Ming: That noodle place last night was pretty good.
PHONE_CHAT_FRIEND_2,我：周末再约。,Me: Let's meet this weekend.
PHONE_CHAT_GROUP,项目小组,Project Group
PHONE_CHAT_GROUP_PREVIEW,九点照常碰一下进度。,Usual nine o'clock progress check.
PHONE_CHAT_GROUP_1,周工：九点照常碰一下进度。,Zhou: Usual nine o'clock progress check.
PHONE_CHAT_GROUP_2,林倩：收到，我到了再发消息。,"Lin Qian: Got it, I'll message when I arrive."
PHONE_CHAT_YOU,我的本地消息,My local messages
PHONE_CHAT_PLACEHOLDER,输入消息（本地保存）,Type a message (saved locally)
PHONE_CHAT_SEND,发送,Send
PHONE_CHAT_SEARCH,搜索聊天,Search chats
PHONE_CHAT_TIME_0741,07:41,07:41
PHONE_CHAT_TIME_0718,07:18,07:18
PHONE_CHAT_TIME_YESTERDAY,昨天,Yesterday
PHONE_MESSAGE_SENT,已保存,Saved
PHONE_MESSAGE_FAILED,离线未发送,Not sent — offline
PHONE_NO_CHARGE,手机电量不足,Phone battery is empty
PHONE_EMPTY_MESSAGE,请输入消息。,Enter a message.
PHONE_MAP_ROUTE,步行约 12 分钟。沿榆树街向东，在河滨路转弯前经过售水点。,About 12 minutes on foot. Follow Elm Street east and pass the water kiosk before turning onto Riverside Road.
PHONE_MAP_SEARCH,搜索地点,Search places
PHONE_MAP_ROUTE_TITLE,前往办公楼,To Office
PHONE_MAP_HOME,住宅,Home
PHONE_MAP_HOME_DETAIL,榆树街 16 号,16 Elm Street
PHONE_MAP_OFFICE,办公楼,Office
PHONE_MAP_OFFICE_DETAIL,河滨路 42 号,42 Riverside Road
PHONE_MAP_WATER,售水点,Water kiosk
PHONE_MAP_WATER_DETAIL,榆树街与河滨路路口,Corner of Elm Street and Riverside Road
PHONE_MAP_LOCATION_UNAVAILABLE,无法获取当前位置,Current location unavailable
PHONE_BROWSER_LOCAL_NOTE,最近访问 · 离线缓存,Recent · Local cache
PHONE_BROWSER_ADDRESS,输入网址或搜索,Enter address or search
PHONE_BROWSER_LOCAL_ADDRESS,portal.yushu.cn,portal.yushu.cn
PHONE_BROWSER_WEATHER_ADDRESS,weather.yushu.cn/today,weather.yushu.cn/today
