keys,zh_CN,en
CHARACTER_CREATOR_TITLE,角色外观,Character Appearance
CHARACTER_CREATOR_CANCEL,取消,Cancel
CHARACTER_CREATOR_CONFIRM,确认,Confirm
CHARACTER_CREATOR_GENERAL,基础,Basics
CHARACTER_CREATOR_BODY_TYPE,体型,Body Type
CHARACTER_CREATOR_NEUTRAL,中性,Neutral
CHARACTER_CREATOR_FEMALE,女性,Feminine
CHARACTER_CREATOR_MALE,男性,Masculine
CHARACTER_CREATOR_SKIN,肤色,Skin Tone
CHARACTER_CREATOR_HAIR,发型,Hair Style
CHARACTER_CREATOR_SHORT,短发,Short
CHARACTER_CREATOR_CROP,短寸,Crop
CHARACTER_CREATOR_BOB,波波头,Bob
CHARACTER_CREATOR_TIED,束发,Tied
CHARACTER_CREATOR_HAIR_COLOR,发色,Hair Color
CHARACTER_CREATOR_FACE,脸部,Face
CHARACTER_CREATOR_BODY,身体,Body
CHARACTER_CREATOR_FACE_VIEW,脸部近景,Face View
CHARACTER_CREATOR_FULL_BODY,全身,Full Body
CHARACTER_CREATOR_PREVIEW_HINT,拖拽旋转 · 滚轮缩放,Drag to rotate · Scroll to zoom
CHARACTER_CREATOR_UNSUPPORTED_HINT,当前角色模型不支持的参数已禁用。,Controls unsupported by the current character model are disabled.
CHARACTER_CREATOR_UNSUPPORTED_FIELD,当前角色模型暂不支持此参数。,This parameter is not supported by the current character model.
CHARACTER_MORPH_NOSE_WIDTH,鼻翼宽度,Nose Width
CHARACTER_MORPH_NOSE_HEIGHT,鼻子高度,Nose Height
CHARACTER_MORPH_NOSE_LENGTH,鼻子长度,Nose Length
CHARACTER_MORPH_EYE_SIZE,眼睛大小,Eye Size
CHARACTER_MORPH_EYE_DISTANCE,眼距,Eye Distance
CHARACTER_MORPH_EYE_HEIGHT,眼睛高度,Eye Height
CHARACTER_MORPH_JAW_WIDTH,下颌宽度,Jaw Width
CHARACTER_MORPH_JAW_HEIGHT,下颌高度,Jaw Height
CHARACTER_MORPH_CHIN_LENGTH,下巴长度,Chin Length
CHARACTER_MORPH_CHIN_WIDTH,下巴宽度,Chin Width
CHARACTER_MORPH_MOUTH_WIDTH,嘴巴宽度,Mouth Width
CHARACTER_MORPH_MOUTH_HEIGHT,嘴巴高度,Mouth Height
CHARACTER_MORPH_CHEEK_SIZE,面颊饱满度,Cheek Fullness
CHARACTER_MORPH_BROW_HEIGHT,眉毛高度,Brow Height
CHARACTER_MORPH_HEIGHT,身高,Height
CHARACTER_MORPH_WEIGHT,体重,Weight
CHARACTER_MORPH_MUSCLE,肌肉量,Muscle
CHARACTER_MORPH_SHOULDER_WIDTH,肩宽,Shoulder Width
CHARACTER_MORPH_CHEST_SIZE,胸围,Chest Size
CHARACTER_MORPH_WAIST_SIZE,腰围,Waist Size
CHARACTER_MORPH_HIP_SIZE,臀围,Hip Size
CHARACTER_MORPH_ARM_SIZE,手臂围度,Arm Size
CHARACTER_MORPH_LEG_SIZE,腿部围度,Leg Size
