keys,"zh_CN","en"
PRO_SAVED,"已保存。","Saved."
PRO_OBJECTIVE,"去上班","Go to work"
PRO_APARTMENT_TITLE,"住处","Apartment"
PRO_COMMUTE_TITLE,"上班路上","On the way"
PRO_ARRIVAL_TITLE,"",""
PRO_ALARM_STOP,"E  关掉闹钟","E  Stop alarm"
PRO_LEAVE,"E  出门","E  Leave apartment"
PRO_BUILDING_EXIT,"E  推开玻璃门","E  Push the glass door"
PRO_BUY_WATER,"E  买一瓶水 · 3 元","E  Buy water · 3 yuan"
PRO_WAKE_HINT,"闹钟在床头。移动鼠标环顾，W A S D 起身走动。","The alarm is on the bedside table. Look with the mouse; move with W A S D."
PRO_REGISTER_HINT,"公司账户失效了。打开工作台重新登记。","Your company account has expired. Open the workspace to register again."
PRO_REGISTER_FIRST,"出门前，先在手机里完成公司登记。","Complete the company registration on your phone before leaving."
PRO_REGISTERED,"登记完成。今天也要去上班。","Registration saved. Another morning at work."
PROFILE_ERR_NAME,"请填写有效姓名。","Please enter a valid name."
PROFILE_ERR_BIRTH_DATE,"这个生日日期不存在。","Please enter a real date of birth."
PROFILE_ERR_AGE,"剧情日期下，角色年龄须为 18—40 周岁。","The character must be 18–40 on the story date."
PROFILE_ERR_APPEARANCE,"请从现有外观预设中选择。","Please select a valid appearance preset."
PRO_BAG_HINT,"工作包在桌边。靠近后按 E 拿起，用 Tab 打开。","Your work bag is by the desk. Pick it up with E and open it with Tab."
PRO_BAG_PICKED_UP,"背包已背好。Tab 查看；点击选择；长按拖动，按 R 旋转。","Bag on your back. Tab to inspect; drag an item and press R to rotate."
PRO_LAPTOP_HINT,"包里的电脑占了不少地方。选中它可以看看。","The laptop takes up a lot of space. Select it to inspect."
PRO_ROTATE_HINT,"长按物品开始拖动，拖动时按 R 旋转。整理好就可以关上背包。","Press R while holding an item to rotate it. Close the bag whenever ready."
PRO_ESSENTIALS_HINT,"手机、电脑、钥匙和钱包都要带上。钥匙和钱包在门边柜上。","Bring your phone and laptop. Your keys and wallet are on the cabinet by the door."
PRO_READY_HINT,"东西带齐了。门外是公共走廊。","You have everything. The communal corridor is outside."
PRO_WATER_BOUGHT,"已经买过一瓶了。","You already bought a bottle."
PRO_WATER_RECEIVED,"水瓶落进取货口，零钱少了三元。","A bottle drops into the tray. Three yuan spent."
PRO_PHOTO_FAILED,"照片未能保存，或相册已满。","The photo could not be saved or the album is full."
PRO_PHOTO_SAVED,"照片已存入相册。","Photo saved to the album."
PRO_ITEM_WORK_LAPTOP,"工作用笔记本电脑","Work laptop"
PRO_ITEM_WORK_LAPTOP_DESC,"一台用了两年的高性能笔记本。金属外壳有细小划痕，边缘因经常拿取而发亮。","A two-year-old high-performance laptop. Fine scratches mark the metal shell; the edges are polished from handling."
PRO_LAPTOP_FRONTROOMS,"今天的表格和报告都在里面。每天背着它，分量已经很熟悉。","Today's spreadsheets and reports are on it. Its weight has become familiar."
PRO_LAPTOP_ARRIVED,"它还在包里。刚才明明只是去上班。","It is still in your bag. A moment ago you were only going to work."
PRO_LAPTOP_SURVIVED,"没有插座，也没有能用的网络。它仍很重，却是那个早晨留下的东西。","No socket and no useful network. Still heavy; still something from that morning."
PRO_ITEM_KEYS,"家门钥匙","Apartment keys"
PRO_ITEM_KEYS_DESC,"两把磨亮的钥匙，挂着褪色的布绳。","Two worn keys on a faded fabric loop."
PRO_ITEM_WALLET,"旧钱包","Worn wallet"
PRO_ITEM_WALLET_DESC,"棕色皮夹里放着通勤卡和一些零钱。折边已经变软。","A brown leather wallet holding a transit card and a little cash. The fold has softened with use."
